Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:12:48 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"36745","NO79SW 5","Standing Stones, Durris","Stone Circle (Neol/bronze Age)(Possible)","374190","793360","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 7419 9336","http://canmore.org.uk/site/36745",
"36747","NO79SW 7","East Mulloch","Stone Circle (Neol/bronze Age)(Possible)","373400","792300","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 734 923","http://canmore.org.uk/site/36747",
"37182","NO89SW 6","Campstone Hill, Raedykes","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","383226","790655","ABERDEENSHIRE","KINCARDINESHIRE","FETTERESSO","NO 83226 90655","http://canmore.org.uk/site/37182",
"39613","NR92NE 2","Arran, Allt Nan Tighean","Four Poster Stone Circle (Bronze Age)","197838","625051","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 97838 25051","http://canmore.org.uk/site/39613",
"39726","NR93SW 3","Arran, Machrie Moor 10","Cairn (Bronze Age)","190058","632655","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90058 32655","http://canmore.org.uk/site/39726",
"40164","NS03SW 1","Arran, Blairmore Glen","Stone Circle (Neol/bronze Age)","201882","633419","NORTH AYRSHIRE","BUTESHIRE","KILBRIDE","NS 01882 33419","http://canmore.org.uk/site/40164",
"40338","NS06NW 3","Bute, St Colmac Cottages","Stone Circle(S) (Neol/bronze Age)","204434","666794","ARGYLL AND BUTE","BUTESHIRE","NORTH BUTE","NS 04434 66794","http://canmore.org.uk/site/40338",
"63688","NX55NW 5","Glenquicken","Stone Circle (Neol/bronze Age)","250960","558210","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","KIRKMABRECK","NX 5096 5821","http://canmore.org.uk/site/63688",
"63691","NX55NW 8","Cauldside Burn","Stone Circle (Neol/bronze Age)","252950","557110","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","ANWOTH","NX 5295 5711","http://canmore.org.uk/site/63691",
"63878","NX59SE 4","Holm Of Daltallochan","Stone Circle (Neol/bronze Age)(Possible)","255280","594220","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","CARSPHAIRN","NX 5528 9422","http://canmore.org.uk/site/63878",
"64017","NX65NE 6","Park, Tongland","Cremation Cemetery (Prehistoric), Kerb Cairn (Prehistoric)","269960","556090","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","TONGLAND","NX 6996 5609","http://canmore.org.uk/site/64017",
"64182","NX66SE 2","Loch Mannoch","Stone Circle (Neol/bronze Age)","266280","561430","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","TONGLAND","NX 6628 6143","http://canmore.org.uk/site/64182",
"67232","NY29NE 11","'loupin Stanes', Hartmanor","Stone Circle (Neol/bronze Age)","325700","596630","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NY 2570 9663","http://canmore.org.uk/site/67232",
"67234","NY29NE 13","Cote, 'girdle Stanes'","Stone Circle (Neol/bronze Age)","325351","596153","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NY 25351 96153","http://canmore.org.uk/site/67234",
"67994","NY59NW 6","Ninestone Rig","Stone Circle (Neol/bronze Age)","351750","597310","SCOTTISH BORDERS, THE","ROXBURGHSHIRE","CASTLETON","NY 5175 9731","http://canmore.org.uk/site/67994",
"303055","NJ42NW 67","Stonecrossfield","Stone Circle (Neol/bronze Age)(Possible)","349000","827000","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 49 27","http://canmore.org.uk/site/303055",
"13414","NH64NE 6","Stoneyfield","Kerb Cairn (Prehistoric), Brooch (Roman), Unidentified Pottery","268780","845490","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 6878 4549","http://canmore.org.uk/site/13414",
"14150","NH74NE 15","Dalcross Mains","Chambered Cairn (Neolithic)","277980","848460","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7798 4846","http://canmore.org.uk/site/14150",
"14198","NH74NW 14","Newton Of Petty","Ring Cairn (Neol/bronze Age)","273480","848580","HIGHLAND","INVERNESS-SHIRE","PETTY","NH 7348 4858","http://canmore.org.uk/site/14198",
"14240","NH74NW 5","Culloden","Chambered Cairn (Neolithic)","271620","847610","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 7162 4761","http://canmore.org.uk/site/14240",
"16375","NJ24SE 4","Hatton","Cairn (Period Unassigned)","327090","841800","MORAY","BANFFSHIRE","ABERLOUR","NJ 2709 4180","http://canmore.org.uk/site/16375",
"17024","NJ40SE 26","Tarland, Waulkmill","Cist (Iron Age), Button(S), Cauldron, Penannular Brooch","347570","804950","ABERDEENSHIRE","ABERDEENSHIRE","TARLAND","NJ 4757 0495","http://canmore.org.uk/site/17024",
"26999","NO03NW 7","Tullybeagles Moor","Kerb Cairn(S) (Prehistoric)","301280","736190","PERTH AND KINROSS","PERTHSHIRE","AUCHTERGAVEN","NO 0128 3619","http://canmore.org.uk/site/26999",
"28711","NO14NE 15","Glendams","Building (Period Unassigned), Enclosure(S) (Period Unassigned), Rig And Furrow (Medieval)","319760","748670","PERTH AND KINROSS","PERTHSHIRE","RATTRAY","NO 1976 4867","http://canmore.org.uk/site/28711",
"29049","NO15NW 1","Grey Cairn, Balnabroich","Cairn(S) (Period Unassigned)","310060","757000","PERTH AND KINROSS","PERTHSHIRE","KIRKMICHAEL (PERTH AND KINROSS)","NO 1006 5700","http://canmore.org.uk/site/29049",
"29054","NO15NW 14","Balnabroich","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","310200","757100","PERTH AND KINROSS","PERTHSHIRE","KIRKMICHAEL (PERTH AND KINROSS)","NO 102 571","http://canmore.org.uk/site/29054",
"29060","NO15NW 2","Dalrulzion","Cairnfield (Period Unassigned), Hut Circle(S) (Prehistoric)","312290","757270","PERTH AND KINROSS","PERTHSHIRE","KIRKMICHAEL (PERTH AND KINROSS)","NO 1229 5727","http://canmore.org.uk/site/29060",
"29176","NO15SE 6","Parkneuk","Natural Feature (Period Unknown)","319480","751380","PERTH AND KINROSS","PERTHSHIRE","BENDOCHY","NO 1948 5138","http://canmore.org.uk/site/29176",
"49645","NT09NE 7","Hill Of Aldie","Barrow (Prehistoric)(Possible)","305600","698900","PERTH AND KINROSS","KINROSS-SHIRE","FOSSOWAY (PERTH AND KINROSS)","NT 056 989","http://canmore.org.uk/site/49645",
"51825","NT26SE 34","Gourlaw","Spindle Whorl","328000","661300","MIDLOTHIAN","MIDLOTHIAN","LASSWADE","NT 280 613","http://canmore.org.uk/site/51825",
"4172","NB23SW 6","Lewis, Druim Nan Eum","Quarry (Period Unassigned), Stone Circle (Neol/bronze Age)","122970","933620","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 2297 3362","http://canmore.org.uk/site/4172",
"4175","NB23SW 9","Lewis, Cnoc Dubh","Enclosure (Period Unassigned), Sheepfold (Period Unassigned), Shieling Hut(S) (Post Medieval)","123200","930200","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 232 302","http://canmore.org.uk/site/4175",
"17169","NJ42NE 1","Tap O' Noth","Enclosure (Period Unassigned), Fort (Period Unassigned), Ring Ditch House(S) (Prehistoric), Roundhouse(S) (Prehistoric), Vitrified Stone (Period Unassigned)","348450","829300","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 4845 2930","http://canmore.org.uk/site/17169",
"28482","NO13NE 17","Newbigging","Cup And Ring Marked Stone (Prehistoric)","315580","735210","PERTH AND KINROSS","PERTHSHIRE","CARGILL","NO 1558 3521","http://canmore.org.uk/site/28482",
"39705","NR93SW 10","Arran, Machrie Moor","Stone Circle(S) (Neol/bronze Age)","190878","632353","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90878 32353","http://canmore.org.uk/site/39705",
"4173","NB23SW 7","Lewis, Cul A'chleit","Standing Stone(S) (Prehistoric)","124650","930340","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 2465 3034","http://canmore.org.uk/site/4173",
"29056","NO15NW 16","Balnabroich","Stone Circle (Neol/bronze Age)","310210","756980","PERTH AND KINROSS","PERTHSHIRE","KIRKMICHAEL (PERTH AND KINROSS)","NO 1021 5698","http://canmore.org.uk/site/29056",
"215","HU15NE 18","Papa Stour, Tiptans","Stone Circle (Neol/bronze Age)","416680","1159660","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 1668 5966","http://canmore.org.uk/site/215",
"1463","HU69SW 4","Fetlar, Gravins, 'haltadans'","Cairn (Period Unassigned)","462210","1192410","SHETLAND ISLANDS","SHETLAND","FETLAR","HU 6221 9241","http://canmore.org.uk/site/1463",
"3997","NB01NW 2","Lewis, Aird Sleitenish","Cairn (Period Unassigned)(Possible)","103100","919800","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 031 198","http://canmore.org.uk/site/3997",
"4112","NB13SE 2","Great Bernera, 'tursachan', Barraglom","Standing Stone(S) (Prehistoric)","116420","934240","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 1642 3424","http://canmore.org.uk/site/4112",
"4135","NB21NE 1","Lewis, Loch Seaforth","Blackhouse (Post Medieval), Flint Scatter (Prehistoric), Stone Circle (Neol/bronze Age), Scraper (Tool)(S), Unidentified Pottery(S)","127810","916620","WESTERN ISLES","ROSS AND CROMARTY","LOCHS","NB 2781 1662","http://canmore.org.uk/site/4135",
"4300","NB43NW 1","Lewis, Laxdale, Priest's Glen","Stone Circle (Neol/bronze Age)","141110","935190","WESTERN ISLES","ROSS AND CROMARTY","STORNOWAY","NB 4111 3519","http://canmore.org.uk/site/4300",
"5074","NC50SE 13","Druim Baile Fuir","Stone Circle (Neol/bronze Age)","256040","902950","HIGHLAND","SUTHERLAND","LAIRG","NC 5604 0295","http://canmore.org.uk/site/5074",
"5081","NC50SE 2","River Shin","Stone Circle (Neol/bronze Age)(Possible)","258240","904900","HIGHLAND","SUTHERLAND","LAIRG","NC 5824 0490","http://canmore.org.uk/site/5081",
"7695","ND05NW 10","Shurrery Kirk","Standing Stone(S) (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","304880","958580","HIGHLAND","CAITHNESS","REAY","ND 0488 5858","http://canmore.org.uk/site/7695",
"7705","ND05NW 2","Aultan Broubster","Stone Circle (Neol/bronze Age)","304400","959900","HIGHLAND","CAITHNESS","REAY","ND 044 599","http://canmore.org.uk/site/7705",
"7945","ND06SW 19","Broubster","Standing Stone(S) (Prehistoric)","304700","960800","HIGHLAND","CAITHNESS","HALKIRK","ND 047 608","http://canmore.org.uk/site/7945",
"8114","ND13NE 3","Guidebest","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)","318020","935100","HIGHLAND","CAITHNESS","LATHERON","ND 1802 3510","http://canmore.org.uk/site/8114",
"8271","ND14SE 2","Achkinloch","Stone Setting (Neol/bronze Age)","318800","941780","HIGHLAND","CAITHNESS","LATHERON","ND 1880 4178","http://canmore.org.uk/site/8271",
"9018","ND34SW 2","Ormiegill","Chambered Cairn (Neolithic), Machine Gun Post (20th Century)(Possible)","333220","942941","HIGHLAND","CAITHNESS","WICK","ND 33220 42941","http://canmore.org.uk/site/9018",
"9554","ND48SE 1","South Ronaldsay, Isbister","Chambered Cairn (Neolithic)","347040","984490","ORKNEY ISLANDS","ORKNEY","SOUTH RONALDSAY","ND 4704 8449","http://canmore.org.uk/site/9554",
"10187","NF85NW 3","Benbecula, Suidheachadh Beag","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","82479","855223","WESTERN ISLES","INVERNESS-SHIRE","SOUTH UIST","NF 82479 55223","http://canmore.org.uk/site/10187",
"10237","NF86NW 7","North Uist, Ben Langass, Pobull Fhinn","Stone Circle (Neol/bronze Age)","84274","865010","WESTERN ISLES","INVERNESS-SHIRE","NORTH UIST","NF 84274 65010","http://canmore.org.uk/site/10237",
"10249","NF86SW 1","North Uist, Carinish","Stone Circle (Neol/bronze Age)","83210","860210","WESTERN ISLES","INVERNESS-SHIRE","NORTH UIST","NF 8321 6021","http://canmore.org.uk/site/10249",
"10269","NF86SW 28","North Uist, Loch A' Phobuill, Sornach Coir' Fhinn","Stone Circle (Neol/bronze Age)","82890","863030","WESTERN ISLES","INVERNESS-SHIRE","NORTH UIST","NF 82890 63030","http://canmore.org.uk/site/10269",
"10283","NF86SW 40","North Uist, Cringraval","Stone Circle (Neol/bronze Age)","81161","864453","WESTERN ISLES","INVERNESS-SHIRE","NORTH UIST","NF 81161 64453","http://canmore.org.uk/site/10283",
"10496","NF98SW 6","Berneray, Ruisgarry, Bruist","Stone Circle (Neol/bronze Age)(Possible)","92420","882880","WESTERN ISLES","INVERNESS-SHIRE","HARRIS","NF 9242 8288","http://canmore.org.uk/site/10496",
"10546","NG09SW 2","Harris, Borvemore","Standing Stone (Prehistoric)","102020","893920","WESTERN ISLES","INVERNESS-SHIRE","HARRIS","NG 0202 9392","http://canmore.org.uk/site/10546",
"11269","NG44NE 1","Skye, Borve, Clachan Erisco","Stone Circle (Neol/bronze Age)","145190","848010","HIGHLAND","INVERNESS-SHIRE","SNIZORT","NG 4519 4801","http://canmore.org.uk/site/11269",
"12820","NH55NW 7","Dingwall Churchyard","Pictish Symbol Stone (Pictish)","254930","858930","HIGHLAND","ROSS AND CROMARTY","DINGWALL","NH 5493 5893","http://canmore.org.uk/site/12820",
"13109","NH63NE 10","Gask","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","267940","835850","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 6794 3585","http://canmore.org.uk/site/13109",
"13211","NH63SE 3","Tordarroch","Cup Marked Stone (Prehistoric), Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","268010","833500","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 6801 3350","http://canmore.org.uk/site/13211",
"13801","NH67SW 35","Ardross","Carved Stone (Period Unassigned), Cist (Period Unassigned)","261000","874000","HIGHLAND","ROSS AND CROMARTY","ROSSKEEN","NH 61 74","http://canmore.org.uk/site/13801",
"14041","NH69SW 50","Airdens","Mace (Flint)","262400","893800","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 624 938","http://canmore.org.uk/site/14041",
"14158","NH74NE 22","Cantraybruich","Chambered Cairn (Neolithic)(Possible), Stone Circle (Neol/bronze Age)","278000","846170","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7800 4617","http://canmore.org.uk/site/14158",
"14192","NH74NE 9","Balnabual","Chambered Cairn (Neolithic), Standing Stone (Prehistoric)","277980","848990","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7798 4899","http://canmore.org.uk/site/14192",
"14195","NH74NW 11","Milton","Stone Row (Neol/bronze Age)","270700","846900","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 707 469","http://canmore.org.uk/site/14195",
"14258","NH74SE 10","Balnuaran Of Clava","Cup Marked Stone (Neol/bronze Age), Kerb Cairn (Bronze Age)","275680","844420","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7568 4442","http://canmore.org.uk/site/14258",
"14280","NH74SE 5","Clava","Standing Stone (Prehistoric)","275940","844610","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7594 4461","http://canmore.org.uk/site/14280",
"14308","NH74SW 5","Daviot Cottage","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","272740","841190","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 7274 4119","http://canmore.org.uk/site/14308",
"14310","NH74SW 7","Culchunaig","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)(Possible)","274200","844180","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 7420 4418","http://canmore.org.uk/site/14310",
"14315","NH75NE 11","Achnuallan","Stone Circle (Neol/bronze Age)","270000","850000","HIGHLAND","INVERNESS-SHIRE","ARDERSIER","NH 7 5","http://canmore.org.uk/site/14315",
"14996","NH84NE 1","Little Urchany","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","286650","848570","HIGHLAND","NAIRN","CAWDOR","NH 8665 4857","http://canmore.org.uk/site/14996",
"15007","NH84NE 2","Little Urchany","Ring Cairn (Neol/bronze Age)(Possible), Stone Circle (Neol/bronze Age)(Possible)","286650","848590","HIGHLAND","NAIRN","CAWDOR","NH 8665 4859","http://canmore.org.uk/site/15007",
"15204","NH85SE 8","Balnaroid","Standing Stone (Prehistoric)","285730","850750","HIGHLAND","NAIRN","CAWDOR","NH 8573 5075","http://canmore.org.uk/site/15204",
"15269","NH87NW 4","Fearn Parish","Stone Circle(S) (Neol/bronze Age)(Possible)","284000","877000","HIGHLAND","ROSS AND CROMARTY","FEARN","NH 84 77","http://canmore.org.uk/site/15269",
"15270","NH87NW 5","Loch Eye","Hut Circle(S) (Prehistoric)(Possible)","282200","879000","HIGHLAND","ROSS AND CROMARTY","FEARN","NH 822 790","http://canmore.org.uk/site/15270",
"15547","NH95NW 2","Auldearn","Ring Cairn (Neolithic)(Possible), Stone Circle (Neolithic)(Possible)","292470","855300","HIGHLAND","NAIRN","AULDEARN","NH 9247 5530","http://canmore.org.uk/site/15547",
"15677","NJ02NE 2","Upper Port","Standing Stone(S) (Prehistoric)","305460","829060","HIGHLAND","MORAYSHIRE","CROMDALE, INVERALLAN AND ADVIE","NJ 0546 2906","http://canmore.org.uk/site/15677",
"15753","NJ04NW 3","Dallasbraughty","Standing Stone(S) (Prehistoric)(Possible)","303400","846800","MORAY","MORAYSHIRE","EDINKILLIE (MORAY)","NJ 0340 4680","http://canmore.org.uk/site/15753",
"15992","NJ13NE 13","Pitchroy","Stone Circle (Neol/bronze Age)","317820","838230","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1782 3823","http://canmore.org.uk/site/15992",
"16030","NJ13SE 5","Bridgend Of Livet","Stone Circle (Neol/bronze Age)","319890","830050","MORAY","BANFFSHIRE","INVERAVON","NJ 1989 3005","http://canmore.org.uk/site/16030",
"16062","NJ14SE 4","Knowehillock","Stone Circle (Neol/bronze Age)","319370","843350","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1937 4335","http://canmore.org.uk/site/16062",
"16128","NJ16NE 24","Camus's Stone, Inverugie","Cup And Ring Marked Stone (Prehistoric), Standing Stone (Prehistoric)","315290","868380","MORAY","MORAYSHIRE","DUFFUS","NJ 1529 6838","http://canmore.org.uk/site/16128",
"16296","NJ22NW 1","Auchorachan","Standing Stone (Prehistoric)","320930","827800","MORAY","BANFFSHIRE","INVERAVON","NJ 2093 2780","http://canmore.org.uk/site/16296",
"16299","NJ22SW 1","Achdregnie","Standing Stone(S) (Prehistoric)","324070","824800","MORAY","BANFFSHIRE","INVERAVON","NJ 2407 2480","http://canmore.org.uk/site/16299",
"16300","NJ22SW 2","Achdregnie","Standing Stone(S) (Prehistoric)","324240","824500","MORAY","BANFFSHIRE","INVERAVON","NJ 2424 2450","http://canmore.org.uk/site/16300",
"16404","NJ25NE 4","Blackhills House","Cup Marked Stone (Prehistoric)","327000","858640","MORAY","MORAYSHIRE","ELGIN","NJ 2700 5864","http://canmore.org.uk/site/16404",
"16441","NJ25SW 1","Netherglen","Standing Stone (Prehistoric)","324310","854750","MORAY","MORAYSHIRE","ROTHES","NJ 2431 5475","http://canmore.org.uk/site/16441",
"16533","NJ26SE 2","Cappieshill","Cairn (Period Unassigned)(Possible), Stone Circle (Neol/bronze Age)(Possible)","326450","864500","MORAY","MORAYSHIRE","URQUHART","NJ 2645 6450","http://canmore.org.uk/site/16533",
"16821","NJ33NW 9","Nether Cluny","Standing Stone (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","331470","838060","MORAY","BANFFSHIRE","MORTLACH","NJ 3147 3806","http://canmore.org.uk/site/16821",
"16878","NJ35NE 5","Fochabers, Boghead","Burial (Period Unassigned), Cairn (Period Unassigned), Lithic Implement(S) (Flint)(Neolithic), Unidentified Pottery","335940","859220","MORAY","MORAYSHIRE","BELLIE","NJ 3594 5922","http://canmore.org.uk/site/16878",
"16928","NJ36SE 1","Cowiemuir","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)(Possible)","337090","863100","MORAY","MORAYSHIRE","BELLIE","NJ 3709 6310","http://canmore.org.uk/site/16928",
"16949","NJ36SW 1","Browlands, Garmouth","Stone Circle (Neol/bronze Age)","333900","864700","MORAY","MORAYSHIRE","URQUHART","NJ 3390 6470","http://canmore.org.uk/site/16949",
"16973","NJ40NE 10","Tarland","Stone Circle (Neol/bronze Age)","348000","805000","ABERDEENSHIRE","ABERDEENSHIRE","TARLAND","NJ 48 05","http://canmore.org.uk/site/16973",
"16999","NJ40NW 3","Migvie","Cup Marked Stone (Prehistoric)","343743","806764","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 43743 06764","http://canmore.org.uk/site/16999",
"17139","NJ41SE 9","The Lang Stane","Natural Feature (Period Unknown), Standing Stone (Prehistoric)","348030","813940","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 4803 1394","http://canmore.org.uk/site/17139",
"17160","NJ41SW 28","Towie","Carved Stone Ball","343000","812000","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 43 12","http://canmore.org.uk/site/17160",
"17286","NJ43SE 2","Mytice","Cup Marked Stone (Prehistoric)","347500","830900","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 475 309","http://canmore.org.uk/site/17286",
"17305","NJ44NW 5","North Whiteley","Cairn (Period Unassigned), Platform (Period Unassigned)","343050","847300","MORAY","BANFFSHIRE","KEITH","NJ 4305 4730","http://canmore.org.uk/site/17305",
"17424","NJ46SW 1","Meikle Hill","Cairn (Bronze Age), Stone Circle (Bronze Age)","342690","860470","MORAY","BANFFSHIRE","RATHVEN","NJ 4269 6047","http://canmore.org.uk/site/17424",
"17475","NJ50NW 1","Culsh","Cup Marked Stone (Prehistoric)(Possible), Souterrain (Prehistoric)","350482","805486","ABERDEENSHIRE","ABERDEENSHIRE","TARLAND","NJ 50482 05486","http://canmore.org.uk/site/17475",
"17626","NJ52NE 20","Chapmen's Graves","Grave(S) (Period Unassigned)(Possible)","357170","828820","ABERDEENSHIRE","ABERDEENSHIRE","KENNETHMONT","NJ 5717 2882","http://canmore.org.uk/site/17626",
"17642","NJ52NE 5","Tofthills","Cross Incised Stone (Early Medieval), Cup Marked Stone (Prehistoric)","355130","826570","ABERDEENSHIRE","ABERDEENSHIRE","CLATT","NJ 5513 2657","http://canmore.org.uk/site/17642",
"17678","NJ52NW 9","Bankhead","Stone Circle (Neol/bronze Age)","352950","827010","ABERDEENSHIRE","ABERDEENSHIRE","CLATT","NJ 5295 2701","http://canmore.org.uk/site/17678",
"17748","NJ53NW 13","Braes Of Bucharn","Four Poster Stone Circle (Bronze Age), Stone Circle (Neol/bronze Age)","351870","836030","ABERDEENSHIRE","ABERDEENSHIRE","GARTLY","NJ 5187 3603","http://canmore.org.uk/site/17748",
"17780","NJ53SW 10","Drumel Stone","Standing Stone (Prehistoric)","351670","830610","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 5167 3061","http://canmore.org.uk/site/17780",
"17884","NJ54SW 7","Roddantree","Stone Circle (Neol/bronze Age)","352400","842140","ABERDEENSHIRE","ABERDEENSHIRE","HUNTLY","NJ 5240 4214","http://canmore.org.uk/site/17884",
"17982","NJ56SW 14","Clune Hill","Standing Stone (Bronze Age)(Possible)","351430","864390","MORAY","BANFFSHIRE","DESKFORD","NJ 5143 6439","http://canmore.org.uk/site/17982",
"18017","NJ60SW 1","Learney","Standing Stone (Prehistoric)","362290","803180","ABERDEENSHIRE","ABERDEENSHIRE","KINCARDINE O'NEIL","NJ 6229 0318","http://canmore.org.uk/site/18017",
"18076","NJ61SW 5","Luath's Stone","Standing Stone (Prehistoric)","364040","814893","ABERDEENSHIRE","ABERDEENSHIRE","TOUGH","NJ 64040 14893","http://canmore.org.uk/site/18076",
"18123","NJ62NE 5","Craigconnack, The Gowk Stane","Standing Stone (Prehistoric)","367650","825700","ABERDEENSHIRE","ABERDEENSHIRE","OYNE","NJ 6765 2570","http://canmore.org.uk/site/18123",
"18124","NJ62NE 6","Westerton Of Petmathen","Standing Stone (Prehistoric)","366449","826474","ABERDEENSHIRE","ABERDEENSHIRE","OYNE","NJ 66449 26474","http://canmore.org.uk/site/18124",
"18150","NJ62NW 3","Wantonwells","Standing Stone (Prehistoric)","361780","827220","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6178 2722","http://canmore.org.uk/site/18150",
"18169","NJ62NW 8","Dunnydeer","Standing Stone (Prehistoric)","361570","828527","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 61570 28527","http://canmore.org.uk/site/18169",
"18201","NJ62SW 2","Husband Hillock","Cist(S) (Period Unassigned), Stone Circle (Neol/bronze Age), Cinerary Urn(S)","362060","824540","ABERDEENSHIRE","ABERDEENSHIRE","PREMNAY","NJ 6206 2454","http://canmore.org.uk/site/18201",
"18236","NJ63NW 3","Stoneyhill","Stone Circle (Neol/bronze Age)(Possible)","362300","839400","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 623 394","http://canmore.org.uk/site/18236",
"18237","NJ63NW 4","Hillhead Of Bogfouton","Stone Circle (Neol/bronze Age)(Possible)","363800","836700","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 638 367","http://canmore.org.uk/site/18237",
"18255","NJ63SE 20","Crighton, 'commemorative Stones'","Stone(S) (Period Unassigned)","369260","834240","ABERDEENSHIRE","ABERDEENSHIRE","RAYNE","NJ 6926 3424","http://canmore.org.uk/site/18255",
"18268","NJ63SE 6","Tocher","Stone Circle (Neol/bronze Age)","369390","832570","ABERDEENSHIRE","ABERDEENSHIRE","RAYNE","NJ 6939 3257","http://canmore.org.uk/site/18268",
"18332","NJ64NW 12","Charterstone","Standing Stone (Prehistoric)","362000","845000","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 62 45","http://canmore.org.uk/site/18332",
"18353","NJ64SE 2","Woof Stone","Boundary Marker (Period Unassigned)","365760","842530","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6576 4253","http://canmore.org.uk/site/18353",
"18378","NJ65NE 13","Newton Of Mountblairy","Stone Circle (Neol/bronze Age), Cinerary Urn","368000","855000","ABERDEENSHIRE","BANFFSHIRE","ALVAH","NJ 68 55","http://canmore.org.uk/site/18378",
"18426","NJ65SW 3","The White Stone, Whitemuir Farm","Stone (Period Unassigned)","360120","851100","ABERDEENSHIRE","BANFFSHIRE","MARNOCH","NJ 6012 5110","http://canmore.org.uk/site/18426",
"18515","NJ70NE 3","Skene","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","","","ABERDEENSHIRE","ABERDEENSHIRE","SKENE","NJ  ","http://canmore.org.uk/site/18515",
"18589","NJ71NE 320","Kintore, Castle Hill","Motte (Medieval), Cinerary Urn(S)","379390","816340","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7939 1634","http://canmore.org.uk/site/18589",
